target,st_spectype,st_teff,ra,dec,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
HIP 67851,K0 III,4890,208.465364,-35.3146536,2,GALEX,6.38731E+18,AIS_466_1_22,208.7228508,-35.36329674,54182.54752,111,UV,NUV,,55487.92674,GALEX,AIS,0
HIP 67851,K0 III,4890,208.465364,-35.3146536,2,GALEX,6.38731E+18,AIS_466_1_22,208.7228508,-35.36329674,54182.54752,111,UV,FUV,,55487.92674,GALEX,AIS,0
K2-62,,4555,334.3645089,-12.1874776,2,GALEX,3.89829E+18,MISGCSS1_30889_0260,334.2244453,-12.34305015,55462.79047,3168,UV,NUV,,55993.14927,GALEX,MIS,0
K2-57,,4434,342.6918241,-14.0700007,2,GALEX,6.37647E+18,AIS_158_1_78,343.1570801,-14.21546044,53231.51892,363,UV,NUV,,55399.83856,GALEX,AIS,0
K2-57,,4434,342.6918241,-14.0700007,2,GALEX,6.37647E+18,AIS_158_1_78,343.1570801,-14.21546044,53231.51892,363,UV,FUV,,55399.83856,GALEX,AIS,0
TOI-712,,4504,92.9361063,-65.8258386,2,GALEX,6.38559E+18,AIS_417_1_35,91.58757821,-65.88602403,55855.34499,103.15,UV,NUV,,56188.80481,GALEX,AIS,0
Kepler-1206,,4877,295.9383737,49.7911337,2,GALEX,3.15418E+18,GI4_056013_KEPLER_04,295.7395667,49.6082191,54605.70587,6719.1,UV,NUV,,55310.17802,GALEX,GII,0
Kepler-1206,,4877,295.9383737,49.7911337,2,GALEX,3.15418E+18,GI4_056013_KEPLER_04,295.7395667,49.6082191,54605.70587,6719.1,UV,FUV,,55310.17802,GALEX,GII,0
Kepler-1329,,4469,281.6476437,48.2709523,2,GALEX,3.73007E+18,MISKEP_10558_0009,282.1957095,48.51155902,55729.86491,1615.4,UV,NUV,,55992.22413,GALEX,MIS,0
Kepler-1957,,4904,293.711436,47.8874467,2,GALEX,6.37123E+18,AIS_9_1_40,293.701181,47.58868468,55814.27988,120,UV,NUV,,56189.00692,GALEX,AIS,0
HD 240237,K2 III,4361,348.9259334,58.0432233,2,GALEX,6.3719E+18,AIS_28_1_33,348.9347007,58.26041286,55831.46242,205,UV,NUV,,56189.01225,GALEX,AIS,0
EPIC 212737443,,4581,204.2215065,-7.3180577,2,GALEX,6.37883E+18,AIS_225_1_94,204.3268158,-7.782234176,53112.39355,217,UV,NUV,,55414.03278,GALEX,AIS,0
EPIC 212737443,,4581,204.2215065,-7.3180577,2,GALEX,6.37883E+18,AIS_225_1_94,204.3268158,-7.782234176,53112.39355,217,UV,FUV,,55414.03278,GALEX,AIS,0
K2-8,K3 V,4870,169.7935178,-0.2844389,2,GALEX,2.92942E+18,MISWZN11_12796_0315,170.1462109,-0.460912133,54553.87001,1527.1,UV,NUV,,55275.25302,GALEX,MIS,0
